row_number,reasons,Case Number,Address,Date & Time,Offense Description,Case Disposition,PD District
297170,'Date & Time' doesn't look like a date; 'Address' possible overlapping text,2016-00191606,E 35TH ST & COMMUNITY CO6L/1L6E/G20E1,A6V aEt 5:00,ASSAULT,,3
297192,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00192600,W 6TH ST & W SUPERIOR AV6E/16/2016 at 0:05,,FELONIOUS ASSAULT - (ALL),,3
297195,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2016-00191474,4246 MARTIN LUTHER KING J6R/1,D6/R2016 at 0:01,DOMESTIC VIOLENCE,,4
297207,'Address' contains a date/time (leak?),2016-00191336,E 105TH ST & SUPERIOR AVE6/15/2016 at 22:22,,DRUG ABUSE: CONTROLLED SUBSTANCE POSSESSION OR USE,,5
297210,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00193006,11205 MOUNT OVERLOOK AV6E/15/2016 at 22:00,,THEFT,,3
297217,'Address' contains a date/time (leak?),2016-00191283,E 40TH ST & OUTHWAITE AVE6/15/2016 at 21:35,,POSSESSION OF DRUGS,CMHA,
297232,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00191341,E 128TH ST & BRACKLAND AV6E/15/2016 at 19:30,,ASSAULT,,5
297234,'Address' contains a date/time (leak?),2016-00191140,E 123RD ST & PARKHILL AVE6/15/2016 at 19:30,,UNAUTHORIZED USE OF A MV_JOY RIDING,,4
297254,'Offense Description' garbled/scrambled text,2016-00191001,LEE RD & HARVARD AVE,6/15/2016 at 17:20,RECOVERED VEH/PROPERTY NON-CRIME,,4
297268,'Address' contains a date/time (leak?),2016-00190857,PARKGATE AVE & E 105TH ST6/15/2016 at 15:09,,,,5
297278,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00190777,I 71 N & W 25TH - FULTON EN6T/1R5/2016 at 13:50,,MOTOR VEHICLE THEFT - GTMV,,2
297344,'Address' contains a date/time (leak?),2016-00190228,E 57TH ST & FULLERTON AVE6/14/2016 at 23:48,,,,
297353,'Offense Description' garbled text (embedded symbol),2016-00190179,612 E 99TH ST,6/14/2016 at 23:00,AGGRAVATED MURDER-PREMEODPITEANT/ESDUPPLEMENT MODE,,5
297372,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00190078,LORAIN AVE & CARNEGIE AV6E/14/2016 at 21:00,,,,3
297375,'Offense Description' garbled/scrambled text,2016-00189977,W 87TH ST & MADISON AVE,6/14/2016 at 20:37,RECOVERED VEH/PROPERTY NON-CRIME,,1
297379,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2016-00189976,3867 MARTIN LUTHER KING J6R/1,D4/R2016 at 20:25,THEFT,,4
297388,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00189915,BROADWAY AVE & ACKLEY R6D/14/2016 at 19:38,,POSSESSING CRIMINAL TOOLSINDICTED / FELONY,,3
297399,'Address' contains a date/time (leak?),2016-00189833,PEARL RD & FLOWERDALE A6V/E14/2016 at 18:35,,FELONIOUS ASSAULT - (ALL),,2
297421,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2016-00189669,2548 MARTIN LUTHER KING J6R/1,D4/R2016 at 16:27,AGGRAVATED MENACING,,4
297453,'Address' contains a date/time (leak?),2016-00189356,E 72ND ST & N MARGINAL RD6/14/2016 at 12:02,,DOMESTIC VIOLENCE,EXCEPTIONAL CLEARANCE,5
297473,'Address' contains a date/time (leak?),2016-00189256,BROADVIEW RD & PEARL RD6/14/2016 at 10:17,,POSSESSION OF DRUGS,,2
297481,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00189674,2250 COMMUNITY COLLEGE 6A/V1E4/2016 at 8:00,,TELEPHONE HARASSMENT,,3
297482,'Address' contains a date/time (leak?),2016-00189138,W 25TH ST & RIVERSIDE AVE6/14/2016 at 7:58,,,,
297489,'Case Disposition' garbled/scrambled text,2016-00189078,7318 SUPERIOR AVE,6/14/2016 at 5:25,ROBBERY-FIREARM-GAS OR SERREVFIECRER,SETDA TTIOO NJUVENILE COURT,3
297517,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00188931,E 110TH ST & WOODLAND AV6E/14/2016 at 0:30,,MOTOR VEHICLE THEFT - AUTO,,4
297522,'Address' contains a date/time (leak?),2016-00188866,W 116TH ST & WESTERN AVE6/13/2016 at 23:10,,CRIMINAL DAMAGING OR ENDANGERING,,1
297541,'Address' contains a date/time (leak?),2016-00191188,W 101ST ST & WESTERN AVE6/13/2016 at 20:09,,,,2
297560,'Address' contains a date/time (leak?),2016-00188534,E 93RD ST & BESSEMER AVE6/13/2016 at 18:30,,THEFT,,4
297577,'Address' contains a date/time (leak?),2016-00188464,BROADVIEW RD & VALLEY RD6/13/2016 at 17:33,,PETTY THEFT,,2
297596,'Date & Time' doesn't look like a date; 'Address' possible overlapping text,2016-00188279,W 130TH TO 71 N RAMP & W 61/3103T/2H0,E16N TatR 15:07,MOTOR VEHICLE THEFT - AUTO,,1
297627,'Address' contains a date/time (leak?),2016-00188090,E 130TH ST & WOODSIDE AVE6/13/2016 at 12:28,,FELONIOUS ASSAULT - (ALL),,5
297636,'Date & Time' doesn't look like a date; 'Address' possible overlapping text,2016-00187963,ROCKEFELLER AVE & INDEPE6/N1D3/E2N01C6E,a Rt 1D0:33,THEFT,,3
297682,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2016-00209150,3875 MARTIN LUTHER KING J6R/1,D3/R2016 at 2:30,,,4
297719,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00187393,NEW YORK AVE & WARNER R6D/12/2016 at 21:06,,HAVING WEAPONS WHILE UNDER DISABILITY,,4
297727,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00187327,E 111TH ST & MOUNT CARME6L/ 1R2D/2016 at 20:15,,ASSAULT,,4
297737,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2016-00187272,6700 CLEVELAND MEMORIAL,6 S/1H2O/2R01E6W aAtY 19:35,,,2
297754,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00187098,CONNECTICUT AVE & WARNE6R/1 2R/2D016 at 17:04,,,,4
297824,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00186572,17727 COLONIAL HEIGHTS D6R/12/2016 at 2:00,,MOTOR VEHICLE THEFT - GTMV,,5
297869,'Address' contains a date/time (leak?),2016-00186767,W 116TH ST & MADISON AVE6/11/2016 at 21:00,,THEFT,,1
297890,'Address' contains a date/time (leak?),2016-00185893,E 105TH ST & CARNEGIE AVE6/11/2016 at 17:50,,DR UNDER THE INFLUENCE OF ALCOHOL AND OR DRUGS,,3
297892,'Address' contains a date/time (leak?),2016-00185912,E 55TH ST & WOODLAND AVE6/11/2016 at 17:45,,MENACING,,3
297941,'Offense Description' garbled/scrambled text,2016-00302680,1715 CHESTER AVE,6/11/2016 at 11:30,RECOVERED VEH/PROPERTY NON-CRIME,,3
297948,'Address' contains a date/time (leak?),2016-00185479,E 112TH ST & SUPERIOR AVE6/11/2016 at 11:00,,DISCHARGING A FIREARMS,,5
298085,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00185065,E 130TH ST & LARCHMERE B6L/V1D0/2016 at 16:30,,MOTOR VEHICLE THEFT - GTMVOPEN/SUPPLEMENT MODE,,4
298097,'Address' contains a date/time (leak?),2016-00185422,E 33RD ST & SUPERIOR AVE 6E/10/2016 at 15:40,,,,3
298121,'Offense Description' garbled/scrambled text,2016-00302740,1715 CHESTER AVE,6/10/2016 at 11:30,RECOVERED VEH/PROPERTY NON-CRIME,,3
298131,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00183976,W 130TH ST & MATHERSON A6V/1E0/2016 at 10:30,,DRUG TRAFFICKING,,1
298144,'Offense Description' garbled/scrambled text,2016-00183885,9813 PARKGATE AVE,6/10/2016 at 8:45,RECOVERED VEH/PROPERTY NON-CRIME,,5
298161,'Address' contains a date/time (leak?),2016-00184187,E 127TH ST & OAKFIELD AVE6/10/2016 at 1:00,,MOTOR VEHICLE THEFT - TRUCK OR BUS,,4
298181,'Address' contains a date/time (leak?),2016-00183631,E 89TH ST & WOODLAND AVE6/9/2016 at 23:58,,AGGRAVATED ROBBERY,,
298193,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00183509,E 156TH ST & LAKE SHORE B6L/V9/D2016 at 21:30,,ASSAULT-RECKLESS-GUN(SERIOUS HARM),,5
298203,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00183416,E 84TH ST & KOSCIUSZKO AV6E/9/2016 at 20:27,,ASSAULT,,5
298227,'Address' contains a date/time (leak?),2016-00183125,STEVENSON RD & KIPLING A6V/E9/2016 at 16:19,,THEFT,,5
298290,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2016-00183084,3546 MARTIN LUTHER KING J6R/9,D/2R016 at 9:30,PETTY THEFT,,4
298308,'Address' contains a date/time (leak?),2016-00183109,E 18TH ST & LAKESIDE AVE E6/9/2016 at 6:30,,CRIMINAL DAMAGING OR ENDANGERING,,3
298331,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00182493,E 171ST ST & LAKE SHORE B6L/V9D/2016 at 1:39,,CRIMINAL DAMAGING OR ENDANGERING,,5
298346,'Date & Time' possible overlapping text,2016-00184026,MATHERSON AVE & W 130TH6,S/9T/2016 at 0:00,THEFT,,4
298378,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00182216,BROADWAY AVE & MORTON A6V/8E/2016 at 20:00,,PETTY THEFT,,3
298389,'Address' contains a date/time (leak?),2016-00182090,E 105TH ST & SUPERIOR AVE6/8/2016 at 18:45,,,,4
298396,'Address' contains a date/time (leak?),2016-00182790,E 124TH ST & SUPERIOR AVE6/8/2016 at 18:00,,,,5
298402,'Offense Description' garbled/scrambled text,2016-00181993,865 E 152ND ST,6/8/2016 at 17:15,RECOVERED VEH/PROPERTY NON-CRIME,,5
298440,'Address' contains a date/time (leak?),2016-00181927,2058 UNIVERSITY HOSPITAL 6D/R8/2016 at 13:56,,THEFT,UCP,
298507,'Offense Description' garbled/scrambled text,2016-00181311,E 83RD ST,6/8/2016 at 2:14,RECOVERED VEH/PROPERTY NON-CRIME,,4
298523,'Address' possible overlapping text; 'Address' contains a date/time (leak?); 'Offense Description' garbled/scrambled text,2016-00181165,W 130TH ST & BENNINGTON 6A/V7E/2016 at 22:56,,RECOVERED VEH/PROPERTY NON-CRIME,,
298562,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00180878,PARKWOOD DR & ENGLEWO6O/7D/ 2A0V1E6 at 18:57,,,,5
298573,'Offense Description' garbled/scrambled text,2016-00180793,E 143RD ST & COIT RD,6/7/2016 at 17:52,RECOVERED VEH/PROPERTY NON-CRIME,,5
298578,'Address' contains a date/time (leak?),2016-00180759,E 55TH ST & BROADWAY AVE6/7/2016 at 17:26,,,,3
298579,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2016-00180763,ROCKY RIVER DR & LAVERNE6/,7A/V2E016 at 17:25,FOLLOWING TOO CLOSELY,,1
298727,'Address' contains a date/time (leak?),2016-00179623,COOK AVE & BROADVIEW RD6/6/2016 at 19:12,,POSSESSION OF DRUGS,,2
298787,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00188075,W 130TH ST & BENNINGTON 6A/V6E/2016 at 12:21,,SEXUAL IMPOSITION,,1
298790,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2016-00179069,2900 MARTIN LUTHER KING J6R/6,D/2R016 at 12:06,,,4
298811,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00178906,ST CLAIR AVE & LAKEVIEW R6D/6/2016 at 9:18,,PETTY THEFT,,5
298836,'Address' contains a date/time (leak?),2016-00178698,BROADVIEW RD & TREADWA6Y/ 6A/V20E16 at 2:00,,DUI-UNDER THE INFLUENCE OF ALCOHOL AND/OR DRUGS,,2
298837,'Offense Description' garbled/scrambled text,2016-00281415,3546 E 140TH ST,6/6/2016 at 1:49,RECOVERED VEH/PROPERTY NON-CRIME,,4
298888,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00178378,E 156TH ST & GROVEWOOD A6/V5E/2016 at 19:30,,CRIMINAL MISCHIEF,,5
298917,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00178164,ONTARIO ST & PROSPECT AV6E/5/2016 at 16:19,,POSSESSION OF DRUGS,RTA,
298942,'Offense Description' garbled/scrambled text,2016-00191717,E 55TH ST & CENTRAL AVE,6/5/2016 at 10:00,RECOVERED VEH/PROPERTY NON-CRIME,,3
298952,'Address' contains a date/time (leak?),2016-00177706,W 116TH ST & MADISON AVE6/5/2016 at 8:30,,MENACING,,1
299025,'Offense Description' garbled text (embedded symbol),2016-00177076,9602 LAIRD AVE,6/4/2016 at 20:00,CRIMINAL DAMAGING OR ENDAONPGEENR/SINUGPPLEMENT MODE,,1
299071,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2016-00176984,2049 MARTIN LUTHER KING J6R/4,D/2R016 at 15:00,MOTOR VEHICLE THEFT - GTMV,CWRU,
299075,'Address' contains a date/time (leak?),2016-00180378,RAWLINGS AVE & E 83RD ST6/4/2016 at 13:30,,POSSESSING CRIMINAL TOOLS,,4
299091,'Address' contains a date/time (leak?),2016-00176501,E 55TH ST & BROADWAY AVE6/4/2016 at 11:30,,DOMESTIC VIOLENCE,,3
299093,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00176466,W 25TH ST & WOODBRIDGE A6V/4E/2016 at 11:20,,ASSAULT,,2
299138,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00176154,ONTARIO ST & PROSPECT AV6E/4/2016 at 1:58,,SEXUAL IMPOSITION,,3
299178,'Address' contains a date/time (leak?),2016-00175775,E 105TH ST & GREENLAWN A6V/E3/2016 at 20:45,,CRIMINAL DAMAGING OR ENDANGERING,,5
299186,'Address' contains a date/time (leak?),2016-00175637,E 55TH ST & BROADWAY AVE6/3/2016 at 19:00,,,,3
299234,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00175901,4141 GARRETT A MORGAN P6L/3/2016 at 13:00,,,,4
299239,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00175135,ST CLAIR AVE & CONNECTIN6G/ 3R/2A0M1P6 at 12:34,,,,
299246,'Offense Description' garbled/scrambled text,2016-00175842,10835 TACOMA AVE,6/3/2016 at 12:00,RECOVERED VEH/PROPERTY NON-CRIME,,5
299251,'Offense Description' garbled/scrambled text,2016-00175088,4609 MEMPHIS AVE,6/3/2016 at 11:43,DUI-CONCENTRATION OF %0.10 OR MORE BY WEIGHT/BLOOD,,2
299258,'Date & Time' possible overlapping text,2016-00176331,WASHINGTON AVE & CENTER,6 /S3/T2016 at 10:00,PETTY THEFT,,2
299273,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2016-00174873,WOODHILL RD & WOODLAND,6 /A3V/2E016 at 6:49,MISUSE OF CREDIT CARD,,4
299283,'Address' contains a date/time (leak?),2016-00174796,FRANKFORT AVE & W 3RD ST6/3/2016 at 3:29,,DRIVING UNDER SUSPENDED/REVOCATION,,3
299305,'Address' contains a date/time (leak?),2016-00175512,7008 ANITA KENNEDY RD SE6/3/2016 at 0:00,,TELEPHONE HARASSMENT,,4
299345,'Address' contains a date/time (leak?),2016-00174270,I 490 W & I 71 S - SR 176 S EX6IT/2/2016 at 18:31,,DR UNDER THE INFLUENCE OF ALCOHOL AND OR DRUGS,,2
299353,'Address' contains a date/time (leak?),2016-00174813,3155 MARTIN LUTHER KING 6J/R2 /D20R16 at 17:40,,CRIMINAL DAMAGING OR ENDANGERING,,3
299368,'Address' contains a date/time (leak?),2016-00174049,E 124TH ST & SUPERIOR AVE6/2/2016 at 15:33,,ROBBERY,,5
299379,'Address' contains a date/time (leak?),2016-00173999,E 124TH ST & SUPERIOR AVE6/2/2016 at 14:44,,,,5
299435,'Address' contains a date/time (leak?),2016-00173617,6545 MEMORIAL SHOREWAY6/2/2016 at 3:30,,CRIMINAL DAMAGING OR ENDANGERING,,2
299457,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00173338,E 146TH ST & LAKE SHORE B6L/V1/D2016 at 23:40,,MENACING,,5
299466,'Address' contains a date/time (leak?),2016-00173392,E 105TH ST & SOMERSET AVE6/1/2016 at 22:16,,,,5
299467,'Address' contains a date/time (leak?),2016-00173233,E 105TH ST & SOMERSET AVE6/1/2016 at 22:16,,,,5
299492,'Address' contains a date/time (leak?),2016-00188639,E 9TH ST & SUPERIOR AVE E6/1/2016 at 19:50,,PETTY THEFT,,
299496,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00173068,CLIFFVIEW RD & ROSELAND 6R/1D/2016 at 19:30,,AGG ROBBERY - DEADLY WEAPON/DANGERIOUS ORD./PHYSICAL 4HARM,,
299499,'Address' contains a date/time (leak?),2016-00173122,W 104TH ST & WESTERN AVE6/1/2016 at 19:00,,DOMESTIC VIOLENCE,,2
299509,'Address' contains a date/time (leak?),2016-00172907,W 114TH ST & WESTERN AVE6/1/2016 at 18:20,,,,1
299520,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00172781,GOODMAN AVE & WARNER R6D/1/2016 at 16:47,,DRIVNG WHILE UNDER THE INFLUENCE OF ALCOHL OR DRUG,,4
299558,'Address' contains a date/time (leak?),2016-00178843,E 83RD ST & RAWLINGS AVE6/1/2016 at 13:25,,OPEN BURNING OR DUMPING,,4
299597,'Offense Description' garbled/scrambled text,2016-00172272,W 80TH ST,6/1/2016 at 9:00,RECOVERED VEH/PROPERTY NON-CRIME,,2
299623,'Address' contains a date/time (leak?),2016-00173546,E 111TH ST & SUPERIOR AVE6/1/2016 at 5:05,,MENACING,,
299631,'Address' contains a date/time (leak?),2016-00172088,E 110TH ST & SUPERIOR AVE6/1/2016 at 2:40,,FELONIOUS ASSAULT - FIREARM,,5
299632,'Address' contains a date/time (leak?),2016-00172074,E 107TH ST & ST CLAIR AVE6/1/2016 at 2:38,,RAPE,REFERRED TO GRAND JURY,5
299633,"'PD District' expected numeric, has text",2016-00172151,4889 SCOVILL AVE,6/1/2016 at 2:22,DOMESTIC VIOLENCE,EXCEPTIONAL CLEARANCE,CMHA
299638,'Offense Description' garbled/scrambled text,2016-00233536,4909 BURGER AVE,6/1/2016 at 1:30,RECOVERED VEH/PROPERTY NON-CRIME,,2
299671,'Address' contains a date/time (leak?),2016-00171967,W 110TH ST & WESTERN AVE5/31/2016 at 23:45,,DOMESTIC VIOLENCE,,1
299694,'Address' contains a date/time (leak?),2016-00172275,W 103RD ST & MADISON AVE5/31/2016 at 21:00,,PETTY THEFT,,1
299703,'Address' contains a date/time (leak?),2016-00171659,7012 ANITA KENNEDY RD SE5/31/2016 at 19:57,,,,4
299714,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2016-00171658,2706 MARTIN LUTHER KING J5R/3,D1/R2016 at 19:00,,,4
299756,'Address' contains a date/time (leak?),2016-00171147,E 55TH ST & BROADWAY AVE5/31/2016 at 13:30,,PETTY THEFT,,3
299757,'Address' contains a date/time (leak?),2016-00171097,RAWLINGS AVE & E 83RD ST5/31/2016 at 13:06,,OPEN BURNING OR DUMPING,,4
299761,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00171067,I 71 N & W 25TH - FULTON EN5T/3R1/2016 at 12:44,,ROBBERY-STRONG ARM-MISCELLANEOUS,,2
299832,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00171081,W 25TH ST & WASHINGTON A5V/3E1/2016 at 0:01,,MOTOR VEHICLE THEFT - AUTO,,2
299841,'Address' contains a date/time (leak?); 'Offense Description' garbled/scrambled text,2016-00170495,ELM ST & WASHINGTON AVE5/30/2016 at 23:26,,DUI-CONCENTRATION OF %0.10 OR MORE BY WEIGHT/BLOOD,,2
299882,'Address' contains a date/time (leak?),2016-00170060,MOUNT SINAI DR & ANSEL RD5/30/2016 at 18:18,,ASSAULT,,3
299988,'Address' contains a date/time (leak?),2016-00170447,E 36TH ST & MT HERMON AVE5/29/2016 at 23:00,,DOMESTIC VIOLENCE,,3
300038,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00168732,I 90 W & E 152ND - E 140TH E5X/I2T9/2016 at 16:34,,,,5
300040,'Address' contains a date/time (leak?),2016-00168721,W 38TH ST & FRANKLIN BLVD5/29/2016 at 16:26,,,,2
300070,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00168575,2250 COMMUNITY COLLEGE 5A/V2E9/2016 at 13:30,,,,3
300083,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00168493,BROADVIEW RD & SPRING R5D/29/2016 at 11:00,,,,2
300085,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00168459,ST CLAIR AVE & NOTTINGHAM5/ 2R9D/2016 at 11:00,,UNAUTHORIZED USE OF A MV - AUTO,,5
300175,'Address' contains a date/time (leak?),2016-00172911,W 3RD ST & W LAKESIDE AVE5/28/2016 at 18:00,,PETTY THEFT,,3
300195,'Address' contains a date/time (leak?),2016-00169148,JEPTHA DR & WADE OVAL DR5/28/2016 at 15:56,,CRIMINAL DAMAGING OR ENDANGERING,UCP,
300204,'Offense Description' garbled/scrambled text,2016-00168384,11817 FOREST AVE,5/28/2016 at 14:00,ASSAULT-RECKLESS-OTHER WEAP(SERIOUS HARM),,4
300224,'Offense Description' garbled/scrambled text,2016-00167295,E 160TH ST & JUDSON DR,5/28/2016 at 11:00,ASSAULT-RECKLESS-OTHER WEAP(SERIOUS HARM),,4
300234,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00167056,SUPERIOR AVE & LAKEVIEW 5R/2D8/2016 at 10:00,,DOMESTIC VIOLENCE,ACTIVE,5
300246,'Date & Time' doesn't look like a date; 'Address' possible overlapping text,2016-00166950,E 40TH ST & COMMUNITY CO5L/2L8E/G20E1,A6V aEt 7:34,,,3
300280,'Date & Time' possible overlapping text,2016-00166860,E 93RD ST & MOUNT AUBURN5/,A2V8/E2016 at 1:30,ASSAULT,,4
300297,'Case Disposition' garbled/scrambled text,2016-00166652,E 136TH ST,5/28/2016 at 0:00,AGG ROBBERY - DEADLY WEAPNOON,P/DAAPNEGRESR - INO.UFS.I. LO.RD./PHYSICAL 5HARM,
300321,'Date & Time' possible overlapping text,2016-00166561,LOUISE HARRIS DR & UNWIN,5 R/2D7/2016 at 22:47,POSSESSION OF DRUGS,CMHA,
300372,'Address' contains a date/time (leak?),2016-00167223,W 9TH ST & W ST CLAIR AVE5/27/2016 at 16:30,,PETTY THEFT,,3
300464,'Offense Description' garbled/scrambled text,2016-00165267,3608 W 133RD ST,5/27/2016 at 0:12,ROBBERY-STRONG ARM-CONVENIENCE STORE,,1
300468,'Address' possible overlapping text; 'Address' contains a date/time (leak?); 'Offense Description' garbled/scrambled text,2016-00167001,CARTON AVE & KINGSBURY B5/L2V7D/2016 at 0:00,,RECOVERED VEH/PROPERTY NON-CRIME,,4
300477,'Address' contains a date/time (leak?),2016-00165243,E 55TH ST & WOODLAND AVE5/26/2016 at 23:05,,CARRYING CONCEALED WEAPONS,CMHA,
300488,'Address' contains a date/time (leak?),2016-00165066,E 117TH ST & TEMBLETT AVE5/26/2016 at 21:46,,RECEIVING STOLEN PROPERTY,,5
300489,'Address' contains a date/time (leak?),2016-00165225,E 63RD ST & WOODLAND AVE5/26/2016 at 21:40,,DOMESTIC VIOLENCE,,3
300497,'Address' contains a date/time (leak?),2016-00165118,E 34TH ST & BROADWAY AVE5/26/2016 at 21:16,,ROBBERY-STRONG ARM-MISCELLANEOUS,RTA,
300498,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00165025,3939 COMMUNITY COLLEGE 5A/V2E6/2016 at 21:16,,,,3
300504,'Address' contains a date/time (leak?),2016-00165222,E 140TH ST & GLENDALE AVE5/26/2016 at 20:30,,ENDANGERING CHILDREN,,4
300506,'Address' contains a date/time (leak?),2016-00165060,E 105TH ST & SOMERSET AVE5/26/2016 at 20:15,,ASSAULT,,5
300588,'Address' contains a date/time (leak?),2016-00211790,E 18TH ST & SUPERIOR AVE 5E/26/2016 at 12:00,,UNAUTHORIZED USE OF MOTOR VEHICLE,,3
300623,'Address' contains a date/time (leak?),2016-00163946,BROADVIEW RD & COOK AVE5/26/2016 at 3:59,,OBSTRUCTING JUSTICE,,2
300625,'Address' contains a date/time (leak?),2016-00163911,E 66TH ST & WOODLAND AVE5/26/2016 at 2:50,,DOMESTIC VIOLENCE,,3
300628,'Address' contains a date/time (leak?),2016-00163819,E 142ND ST & HARVARD AVE5/26/2016 at 0:38,,MOTOR VEHICLE THEFT - AUTO,,4
300638,'Offense Description' garbled/scrambled text,2016-00166188,3129 W 71ST ST,5/26/2016 at 0:00,RECOVERED VEH/PROPERTY NON-CRIME,,2
300640,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2016-00163784,MARTIN LUTHER KING JR DR5,&/2 5C/H20E1S6T aEtR 2 3A:V5E8,HAVING WEAPONS WHILE UNDER DISABILITY,UCP,
300673,'Offense Description' garbled/scrambled text,2016-00179694,1690 COLUMBUS RD,5/25/2016 at 20:10,RECOVERED VEH/PROPERTY NON-CRIME,,3
300674,'Address' contains a date/time (leak?),2016-00184624,BENNINGTON AVE & W 130TH5 /S25T/2016 at 20:03,,CRIMINAL DAMAGING OR ENDANGERING,,
300705,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2016-00163295,11122 MOUNT OVERLOOK AV5E/25/2016 at 17:15,,DOMESTIC VIOLENCE,,4
300728,'Address' possible overlapping text,2016-00163088,WATERLOO RD & E 152ND - W5/A2T5E/2R0L1O6 Oat T1O5 :9002W RAMP,,,,5
300780,'Address' contains a date/time (leak?),2016-00162699,PARKGATE AVE & E 105TH ST5/25/2016 at 8:50,,,,5
300838,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text; 'Date & Time' fragmented text (overlap?),2016-00162412,W SUPERIOR AVE & ROBERT,5 L/2O4C/2K0W16O aOt D2 3J:R34 D R,CRIMINAL DAMAGING OR ENDANGERING,,3
300862,'Address' contains a date/time (leak?),2016-00162452,CLIFTON BLVD & WEST BLVD5/24/2016 at 21:00,,,,1
300871,'Offense Description' garbled/scrambled text,2016-00162151,E 128TH ST,5/24/2016 at 20:22,RECOVERED VEH/PROPERTY NON-CRIME,,4
300889,'Address' contains a date/time (leak?),2016-00161963,LONDON RD & ST CLAIR AVE5/24/2016 at 17:42,,DRUG ABUSE: CONTROLLED SUBSTANCE POSSESSION OR USE,,5
300898,'Date & Time' doesn't look like a date; 'Address' possible overlapping text,2016-00161981,E 40TH ST & COMMUNITY CO5L/2L4E/G20E1,A6V aEt 17:00,ASSAULT,,3
300907,'Address' contains a date/time (leak?),2016-00161825,E 120TH ST & SUPERIOR AVE5/24/2016 at 15:49,,,,3
300909,'Address' contains a date/time (leak?),2016-00161808,E 55TH ST & BROADWAY AVE5/24/2016 at 15:35,,ASSAULT,,3
300934,'Address' contains a date/time (leak?),2016-00161588,7025 ANITA KENNEDY RD SE5/24/2016 at 12:21,,TELEPHONE HARASSMENT,,
300961,'Date & Time' possible overlapping text,2016-00161373,2421 COMMUNITY COLLEGE,5 A/2V4E/2016 at 8:57,,,3
300966,'Address' contains a date/time (leak?),2016-00171343,W 116TH ST & MADISON AVE5/24/2016 at 8:30,,MOTOR VEHICLE THEFT - AUTO,,1
300968,'Address' contains a date/time (leak?),2016-00161343,BIDDULPH AVE & FULTON RD5/24/2016 at 8:25,,PETTY THEFT,,2
